Tasa mutación,Corrida,Fitness,Municipios seleccionados,Presupuesto usado ($MXN),% presupuesto,Factible
0.01,1,86.008,134,10720000,107.2,No
0.01,2,85.9638,134,10670000,106.7,No
0.01,3,86.0138,134,10670000,106.7,No
0.01,4,85.958,134,10720000,107.2,No
0.01,5,85.9678,134,10660000,106.6,No
0.05,1,82.6122,135,10720000,107.2,No
0.05,2,82.6447,137,10880000,108.8,No
0.05,3,82.7958,134,10700000,107.0,No
0.05,4,82.727,133,10610000,106.1,No
0.05,5,83.292,134,10710000,107.1,No
