=== Municipios por estado ===
Estado,N municipios,% del total
Jalisco,125,46.8
Michoacán,112,41.9
Nayarit,20,7.5
Colima,10,3.7

=== Zona sismica CFE ===
Zona CFE,N municipios,% del total
A,0,0.0
B,44,16.5
C,160,59.9
D,63,23.6

=== Peligro inundacion ===
Grado inundación,N municipios,% del total
Muy bajo,0,0.0
Bajo,142,53.2
Medio,78,29.2
Alto,35,13.1
Muy alto,12,4.5

=== Vulnerabilidad social ===
Vulnerabilidad social,N municipios,% del total
Muy bajo,2,0.7
Bajo,87,32.6
Medio,111,41.6
Alto,59,22.1
Muy alto,8,3.0

=== ARM por estado ===
estado,No,Sí
Colima,3,7
Jalisco,110,15
Michoacán,96,16
Nayarit,11,9

=== Cruce zona x inundacion ===
zona_sismica_CFE,Muy bajo,Bajo,Medio,Alto,Muy alto,Total
B,,37,3,3,1,44
C,,99,48,12,1,160
D,,6,27,20,10,63
Total,,142,78,35,12,267

=== Top 10 municipios por beneficio ===
estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM,beneficio,costo
Michoacán,Aquila,D,Muy alto,Muy alto,No,0.9999999999999999,100000
Jalisco,Cabo Corrientes,D,Muy alto,Alto,No,0.9374999999999999,100000
Michoacán,Ixtlán,D,Muy alto,Alto,No,0.9374999999999999,100000
Michoacán,Coahuayana,D,Muy alto,Alto,No,0.9374999999999999,100000
Michoacán,Churumuco,D,Alto,Muy alto,No,0.9249999999999999,100000
Jalisco,La Huerta,D,Muy alto,Medio,No,0.8749999999999999,100000
Michoacán,Múgica,D,Alto,Alto,No,0.8624999999999999,100000
Jalisco,Casimiro Castillo,D,Alto,Alto,No,0.8624999999999999,100000
Jalisco,Cuautitlán de García Barragán,D,Alto,Alto,No,0.8624999999999999,100000
Michoacán,La Huacana,D,Alto,Alto,No,0.8624999999999999,100000
