estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM,z_sis,z_inund,z_vuln,sin_arm,s_sis,s_inund,s_vuln,beneficio,costo
Michoacán,Nahuatzen,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Michoacán,Nocupétaro,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Nuevo Parangaricutiro,D,Bajo,Alto,No,4,2,4,1,1.0,0.25,0.75,0.7125,100000
Michoacán,Nuevo Urecho,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Numarán,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Ocampo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Pajacuarán,C,Alto,Medio,No,3,4,3,1,0.6666666666666666,0.75,0.5,0.6833333333333332,80000
Michoacán,Panindícuaro,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Parácuaro,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Paracho,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Michoacán,Pátzcuaro,C,Bajo,Bajo,Sí,3,2,2,0,0.6666666666666666,0.25,0.25,0.3708333333333333,50000
Michoacán,Penjamillo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Peribán,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,La Piedad,C,Alto,Bajo,Sí,3,4,2,0,0.6666666666666666,0.75,0.25,0.5208333333333333,50000
Michoacán,Purépero,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Puruarán,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Queréndaro,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Michoacán,Quiroga,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Michoacán,Cojumatlán de Régules,C,Alto,Bajo,No,3,4,2,1,0.6666666666666666,0.75,0.25,0.6208333333333332,80000
Michoacán,Sahuayo,C,Medio,Bajo,Sí,3,3,2,0,0.6666666666666666,0.5,0.25,0.4458333333333333,50000
Michoacán,San Lucas,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Santa Ana Maya,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Michoacán,Salvador Escalante,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Senguio,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Susupuato,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Michoacán,Tacámbaro,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tancítaro,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Tangamandapio,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tangancícuaro,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tanhuato,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Taretan,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tarímbaro,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Michoacán,Tepalcatepec,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Tingambato,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tingüindín,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tiquicheo de Nicolás Romero,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Michoacán,Tlalpujahua,C,Bajo,Medio,Sí,3,2,3,0,0.6666666666666666,0.25,0.5,0.4333333333333333,50000
Michoacán,Tlazazalca,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tocumbo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tumbiscatío,D,Medio,Muy alto,No,4,3,5,1,1.0,0.5,1.0,0.85,100000
Michoacán,Turicato,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Tuxpan,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tuzantla,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Michoacán,Tzintzuntzan,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Tzitzio,D,Medio,Alto,No,4,3,4,1,1.0,0.5,0.75,0.7875,100000
Michoacán,Uruapan,D,Medio,Bajo,Sí,4,3,2,0,1.0,0.5,0.25,0.5625,70000
Michoacán,Venustiano Carranza,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Villamar,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Michoacán,Vista Hermosa,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Michoacán,Yurécuaro,C,Alto,Bajo,No,3,4,2,1,0.6666666666666666,0.75,0.25,0.6208333333333332,80000
Michoacán,Zacapu,C,Bajo,Bajo,Sí,3,2,2,0,0.6666666666666666,0.25,0.25,0.3708333333333333,50000
Michoacán,Zamora,C,Medio,Bajo,Sí,3,3,2,0,0.6666666666666666,0.5,0.25,0.4458333333333333,50000
Michoacán,Zináparo,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Zinapécuaro,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Michoacán,Ziracuaretiro,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Michoacán,Zitácuaro,C,Bajo,Bajo,Sí,3,2,2,0,0.6666666666666666,0.25,0.25,0.3708333333333333,50000
Michoacán,José Sixto Verduzco,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
