estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM,z_sis,z_inund,z_vuln,sin_arm,s_sis,s_inund,s_vuln,beneficio,costo
Jalisco,Casimiro Castillo,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Jalisco,Cihuatlán,D,Muy alto,Medio,Sí,4,5,3,0,1.0,1.0,0.5,0.7749999999999999,70000
Jalisco,Zapotlán el Grande,C,Medio,Bajo,Sí,3,3,2,0,0.6666666666666666,0.5,0.25,0.4458333333333333,50000
Jalisco,Cocula,C,Medio,Medio,No,3,3,3,1,0.6666666666666666,0.5,0.5,0.6083333333333333,80000
Jalisco,Colotlán,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Concepción de Buenos Aires,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Cuautitlán de García Barragán,D,Alto,Alto,No,4,4,4,1,1.0,0.75,0.75,0.8624999999999999,100000
Jalisco,Cuautla,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Cuquío,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Chapala,C,Medio,Bajo,Sí,3,3,2,0,0.6666666666666666,0.5,0.25,0.4458333333333333,50000
Jalisco,Chimaltitán,B,Bajo,Alto,No,2,2,4,1,0.3333333333333333,0.25,0.75,0.47916666666666663,80000
Jalisco,Chiquilistlán,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Degollado,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,Ejutla,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Encarnación de Díaz,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,Etzatlán,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,El Grullo,D,Medio,Medio,No,4,3,3,1,1.0,0.5,0.5,0.725,100000
Jalisco,Guachinango,C,Bajo,Alto,No,3,2,4,1,0.6666666666666666,0.25,0.75,0.5958333333333333,80000
Jalisco,Guadalajara,C,Bajo,Muy bajo,Sí,3,2,1,0,0.6666666666666666,0.25,0.0,0.3083333333333333,50000
Jalisco,Hostotipaquillo,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Huejúcar,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Huejuquilla el Alto,B,Bajo,Alto,No,2,2,4,1,0.3333333333333333,0.25,0.75,0.47916666666666663,80000
Jalisco,La Huerta,D,Muy alto,Medio,No,4,5,3,1,1.0,1.0,0.5,0.8749999999999999,100000
Jalisco,Ixtlahuacán de los Membrillos,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,Ixtlahuacán del Río,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Jalostotitlán,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,Jamay,B,Muy alto,Bajo,No,2,5,2,1,0.3333333333333333,1.0,0.25,0.5791666666666666,80000
Jalisco,Jesús María,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,Jilotlán de los Dolores,C,Medio,Alto,No,3,3,4,1,0.6666666666666666,0.5,0.75,0.6708333333333333,80000
Jalisco,Jocotepec,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,Juanacatlán,C,Medio,Bajo,No,3,3,2,1,0.6666666666666666,0.5,0.25,0.5458333333333333,80000
Jalisco,Juchitlán,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Lagos de Moreno,B,Bajo,Bajo,No,2,2,2,1,0.3333333333333333,0.25,0.25,0.35416666666666663,80000
Jalisco,El Limón,D,Medio,Medio,No,4,3,3,1,1.0,0.5,0.5,0.725,100000
Jalisco,Magdalena,C,Bajo,Bajo,No,3,2,2,1,0.6666666666666666,0.25,0.25,0.4708333333333333,80000
Jalisco,Santa María de los Ángeles,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Mascota,D,Medio,Medio,No,4,3,3,1,1.0,0.5,0.5,0.725,100000
Jalisco,Mazamitla,C,Bajo,Medio,No,3,2,3,1,0.6666666666666666,0.25,0.5,0.5333333333333333,80000
Jalisco,Mexticacán,B,Bajo,Medio,No,2,2,3,1,0.3333333333333333,0.25,0.5,0.41666666666666663,80000
Jalisco,Mezquitic,B,Bajo,Muy alto,No,2,2,5,1,0.3333333333333333,0.25,1.0,0.5416666666666666,80000
Jalisco,Mixtlán,D,Bajo,Alto,No,4,2,4,1,1.0,0.25,0.75,0.7125,100000
