Tasa mutación,Mejor fitness,Media fitness,SD fitness,Municipios,Presupuesto usado,Factible
0.01,82.7708,82.6067,0.1181,125,10000000,Sí
0.05,79.05,78.5042,0.3618,128,10000000,Sí
